KODE_KPP;NAMA_KPP;;
215;KPP Pratama Batam Utara;;
216;KPP Pratama Pekanbaru Tampan;;
217;KPP Madya Batam;;
218;KPP Madya Pekanbaru;;
219;KPP Pratama Bengkalis;;
221;KPP Pratama Bangkinang;;
222;KPP Pratama Pangkalan Kerinci;;
223;KPP Pratama Tanjung Balai Karimun;;
224;KPP Pratama Bintan;;
225;KPP Pratama Batam Selatan;;
301;KPP Pratama Palembang Ilir Timur;;
302;KPP Pratama Baturaja;;
303;KPP Pratama Lubuk Linggau;;
304;KPP Pratama Pangkal Pinang;;
305;KPP Pratama Tanjung Pandan;;
306;KPP Pratama Palembang Seberang Ulu;;
307;KPP Pratama Palembang Ilir Barat;;
308;KPP Madya Palembang;;
309;KPP Pratama Lahat;;
311;KPP Pratama Bengkulu;;
312;KPP Pratama Kayu Agung;;
313;KPP Pratama Prabumulih;;
314;KPP Pratama Sekayu;;
315;KPP Pratama Bangka;;
321;KPP Pratama Metro;;
322;KPP Pratama Tanjung Karang;;
323;KPP Pratama Kedaton;;
324;KPP Pratama Teluk Betung;;
325;KPP Pratama Natar;;
326;KPP Pratama Kotabumi;;
327;KPP Pratama Curup;;
328;KPP Pratama Argamakmur;;
331;KPP Pratama Jambi Telanaipura;;
332;KPP Pratama Muara Bungo;;
333;KPP Pratama Bangko;;
334;KPP Pratama Kuala Tungkal;;
335;KPP Pratama Jambi Pelayangan;;
401;KPP Pratama Serang Barat;;
402;KPP Pratama Tangerang Barat;;
403;KPP Pratama Cibinong;;
404;KPP Pratama Bogor;;
405;KPP Pratama Sukabumi;;
406;KPP Pratama Cianjur;;
407;KPP Pratama Bekasi Utara;;
408;KPP Pratama Karawang Utara;;
409;KPP Pratama Purwakarta;;
411;KPP Pratama Serpong;;
412;KPP Pratama Depok Cimanggis;;
413;KPP Pratama Cikarang Selatan;;
414;KPP Pratama Cikarang Utara;;
415;KPP Madya Tangerang;;
416;KPP Pratama Tangerang Timur;;
417;KPP Pratama Cilegon;;
418;KPP Pratama Kosambi;;
419;KPP Pratama Pandeglang;;
421;KPP Pratama Cimahi;;
422;KPP Pratama Bandung Tegallega;;
423;KPP Pratama Bandung Cibeunying;;
424;KPP Pratama Bandung Karees;;
425;KPP Pratama Tasikmalaya;;
426;KPP Pratama Cirebon Satu;;
427;KPP Pratama Bekasi Barat;;
428;KPP Pratama Bandung Bojonagara;;
429;KPP Pratama Bandung Cicadas;;
431;KPP Madya Bekasi;;
432;KPP Pratama Bekasi Selatan;;
433;KPP Pratama Karawang Selatan;;
434;KPP Pratama Ciawi;;
435;KPP Pratama Cibitung;;
436;KPP Pratama Cileungsi;;
437;KPP Pratama Indramayu;;
438;KPP Pratama Kuningan;;
439;KPP Pratama Subang;;
441;KPP Madya Bandung;;
442;KPP Pratama Ciamis;;
443;KPP Pratama Garut;;
444;KPP Pratama Majalaya;;
445;KPP Pratama Soreang;;
446;KPP Pratama Sumedang;;
447;KPP Pratama Pondok Gede;;
448;KPP Pratama Depok Sawangan;;
449;KPP Madya Bogor;;
451;KPP Pratama Tigaraksa;;
452;KPP Pratama Cikupa;;
453;KPP Pratama Pondok Aren;;
454;KPP Pratama Serang Timur;;
455;KPP Cirebon Dua;;
501;KPP Pratama Tegal;;
502;KPP Pratama Pekalongan;;
503;KPP Pratama Semarang Barat;;
504;KPP Pratama Semarang Timur;;
505;KPP Pratama Salatiga;;
506;KPP Pratama Kudus;;
507;KPP Pratama Pati;;
508;KPP Pratama Semarang Selatan;;
509;KPP Pratama Semarang Tengah Dua;;
511;KPP Madya Semarang;;
512;KPP Pratama Semarang Tengah Satu;;
513;KPP Pratama Batang;;
514;KPP Pratama Blora;;
515;KPP Pratama Demak;;
516;KPP Pratama Jepara;;
517;KPP Pratama Semarang Candisari;;
518;KPP Pratama Semarang Gayamsari;;
521;KPP Pratama Purwokerto;;
522;KPP Pratama Cilacap;;
523;KPP Pratama Kebumen;;
524;KPP Pratama Magelang;;
525;KPP Pratama Klaten;;
526;KPP Pratama Surakarta;;
527;KPP Pratama Boyolali;;
528;KPP Pratama Karanganyar;;
529;KPP Pratama Purbalingga;;
531;KPP Pratama Purworejo;;
532;KPP Pratama Sukoharjo;;
533;KPP Pratama Temanggung;;
541;KPP Pratama Yogyakarta;;
542;KPP Pratama Sleman;;
543;KPP Pratama Bantul;;
544;KPP Pratama Wates;;
545;KPP Pratama Wonosari;;
601;KPP Pratama Bojonegoro;;
602;KPP Pratama Mojokerto;;
603;KPP Pratama Sidoarjo Barat;;
604;KPP Pratama Surabaya Sukomanunggal;;
605;KPP Pratama Surabaya Krembangan;;
606;KPP Pratama Surabaya Gubeng;;
607;KPP Pratama Surabaya Tegalsari;;
608;KPP Pratama Pamekasan;;
609;KPP Pratama Surabaya Wonocolo;;
611;KPP Pratama Surabaya Genteng;;
612;KPP Pratama Gresik Utara;;
613;KPP Pratama Surabaya Pabean Cantikan;;
614;KPP Pratama Surabaya Sawahan;;
615;KPP Pratama Surabaya Rungkut;;
616;KPP Pratama Surabaya Simokerto;;
617;KPP Pratama Sidoarjo Selatan;;
618;KPP Pratama Surabaya Karangpilang;;
619;KPP Pratama Surabaya Mulyorejo;;
621;KPP Pratama Madiun;;
622;KPP Pratama Kediri;;
623;KPP Pratama Malang Selatan;;
624;KPP Pratama Pasuruan;;
625;KPP Pratama Probolinggo;;
626;KPP Pratama Jember;;
627;KPP Pratama Banyuwangi;;
628;KPP Pratama Batu;;
629;KPP Pratama Tulungagung;;
631;KPP Madya Surabaya;;
641;KPP Madya Sidoarjo;;
642;KPP Pratama Gresik Selatan;;
643;KPP Pratama Sidoarjo Utara;;
644;KPP Pratama Bangkalan;;
645;KPP Pratama Lamongan;;
646;KPP Pratama Ngawi;;
647;KPP Pratama Ponorogo;;
648;KPP Pratama Tuban;;
649;KPP Pratama Jombang;;
651;KPP Madya Malang;;
652;KPP Pratama Malang Utara;;
653;KPP Pratama Blitar;;
654;KPP Pratama Kepanjen;;
655;KPP Pratama Pare;;
656;KPP Pratama Situbondo;;
657;KPP Pratama Singosari;;
701;KPP Pratama Pontianak Barat;;
702;KPP Pratama Singkawang;;
703;KPP Pratama Ketapang;;
704;KPP Pratama Mempawah;;
705;KPP Pratama Sanggau;;
706;KPP Pratama Sintang;;
707;KPP Pratama Pontianak Timur;;
711;KPP Pratama Palangkaraya;;
712;KPP Pratama Sampit;;
713;KPP Pratama Pangkalan Bun;;
714;KPP Pratama Muara Teweh;;
721;KPP Pratama Balikpapan Barat;;
722;KPP Pratama Samarinda Ilir;;
723;KPP Pratama Tarakan;;
724;KPP Pratama Bontang;;
725;KPP Madya Balikpapan;;
726;KPP Pratama Penajam;;
727;KPP Pratama Tanjung Redeb;;
728;KPP Pratama Tenggarong;;
729;KPP Pratama Balikpapan Timur;;
731;KPP Pratama Banjarmasin Selatan;;
732;KPP Pratama Banjarbaru;;
733;KPP Pratama Barabai;;
734;KPP Pratama Batulicin;;
735;KPP Pratama Tanjung;;
736;KPP Pratama Banjarmasin Utara;;
801;KPP Pratama Makassar Utara;;
802;KPP Pratama Parepare;;
803;KPP Pratama Palopo;;
804;KPP Pratama Makassar Barat;;
805;KPP Pratama Makassar Selatan;;
806;KPP Pratama Bulukumba;;
807;KPP Pratama Bantaeng;;
808;KPP Pratama Watampone;;
809;KPP Pratama Maros;;
811;KPP Pratama Kendari;;
812;KPP Madya Makassar;;
813;KPP Pratama Majene;;
814;KPP Pratama Mamuju;;
815;KPP Pratama Kolaka;;
816;KPP Pratama Bau-Bau;;
821;KPP Pratama Manado;;
822;KPP Pratama Gorontalo;;
823;KPP Pratama Bitung;;
824;KPP Pratama Kotamobagu;;
825;KPP Pratama Tahuna;;
831;KPP Pratama Palu;;
832;KPP Pratama Luwuk;;
833;KPP Pratama Poso;;
834;KPP Pratama Toli-Toli;;
901;KPP Pratama Denpasar Barat;;
902;KPP Pratama Singaraja;;
903;KPP Pratama Denpasar Timur;;
904;KPP Madya Denpasar;;
905;KPP Pratama Badung Selatan;;
906;KPP Pratama Badung Utara;;
907;KPP Pratama Gianyar;;
908;KPP Pratama Tabanan;;
911;KPP Pratama Mataram Barat;;
912;KPP Pratama Raba Bima;;
913;KPP Pratama Sumbawa Besar;;
914;KPP Pratama Mataram Timur;;
915;KPP Pratama Praya;;
921;KPP Pratama Maumere;;
922;KPP Pratama Kupang;;
923;KPP Pratama Ende;;
924;KPP Pratama Ruteng;;
925;KPP Pratama Atambua;;
926;KPP Pratama Waingapu;;
941;KPP Pratama Ambon;;
942;KPP Pratama Ternate;;
943;KPP Pratama Tobelo;;
951;KPP Pratama Sorong;;
952;KPP Pratama Jayapura;;
953;KPP Pratama Timika;;
954;KPP Pratama Biak;;
955;KPP Pratama Manokwari;;
956;KPP Pratama Merauke;;
;KP2KP Kutacane;;
;KP2KP Karang Baru;;
